Family,Genus,species,status,Trend
Leporidae,Bunolagus,monticularis,CR,Decreasing
Leporidae,Sylvilagus,manusetus,CR,Decreasing
Leporidae,Nesolagus,netscheri,DD,Unknown
Ochotonidae,Ochotona,coreana,DD,Unknown
Leporidae,Sylvilagus ,andinus,DD,Unknown
Leporidae,Sylvilagus,insonus,DD,Decreasing
Leporidae,Sylvilagus,sanctaemartae,DD,Unknown
Leporidae,Sylvilagus,varynaensis,DD,Unknown
Leporidae,Caprolagus,hispidus,EN,Decreasing
Leporidae,Lepus,flavigularis,EN,Decreasing
Leporidae,Lepus,hainanus,EN,Decreasing
Leporidae,Nesolagus,timminsi,EN,Decreasing
Ochotonidae,Ochotona,argentata,EN,Decreasing
Ochotonidae,Ochotona,hoffmanni,EN,Unknown
Ochotonidae,Ochotona,iliensis,EN,Decreasing
Ochotonidae,Ochotona,koslowi,EN,Decreasing
Leporidae,Oryctolagus,cuniculus,EN,Decreasing
Leporidae,Pentalagus,furnessi,EN,Decreasing
Leporidae,Romerolagus,diazi,EN,Decreasing
Leporidae,Sylvilagus,brasiliensis,EN,Decreasing
Leporidae,Sylvilagus,cognatus,EN,Unknown
Leporidae,Sylvilagus,graysoni,EN,Decreasing
Leporidae,Brachylagus,idahoensis,LC,Unknown
Leporidae,Lepus,alleni,LC,Unknown
Leporidae,Lepus,americanus,LC,Stable
Leporidae,Lepus,arcticus,LC,Unknown
Leporidae,Lepus,californicus,LC,Decreasing
Leporidae,Lepus,capensis,LC,Decreasing
Leporidae,Lepus,comus,LC,Decreasing
Leporidae,Lepus,europaeus,LC,Decreasing
Leporidae,Lepus,fagani,LC,Unknown
Leporidae,Lepus,granatensis,LC,Stable
Leporidae,Lepus,habessinicus,LC,Unknown
Leporidae,Lepus,mandshuricus,LC,Unknown
Leporidae,Lepus,nigricollis,LC,Unknown
Leporidae,Lepus,oiostolus,LC,Unknown
Leporidae,Lepus,othus,LC,Unknown
Leporidae,Lepus,peguensis,LC,Stable
Leporidae,Lepus,saxatilis,LC,Decreasing
Leporidae,Lepus,sinensis,LC,Unknown
Leporidae,Lepus,starcki,LC,Unknown
Leporidae,Lepus,tibetanus,LC,Unknown
Leporidae,Lepus,timidus,LC,Stable
Leporidae,Lepus,tolai,LC,Unknown
Leporidae,Lepus,victoriae,LC,Stable
Ochotonidae,Ochotona,alpina,LC,Stable
Ochotonidae,Ochotona,cansus,LC,Unknown
Ochotonidae,Ochotona,collaris,LC,Unknown
Ochotonidae,Ochotona,curzoniae,LC,Decreasing
Ochotonidae,Ochotona,dauurica,LC,Unknown
Ochotonidae,Ochotona,erythrotis,LC,Unknown
Ochotonidae,Ochotona,forresti,LC,Unknown
Ochotonidae,Ochotona,gloveri,LC,Unknown
Ochotonidae,Ochotona,hyperborea,LC,Stable
Ochotonidae,Ochotona,ladacensis,LC,Unknown
Ochotonidae,Ochotona,macrotis,LC,Unknown
Ochotonidae,Ochotona,mantchurica,LC,Unknown
Ochotonidae,Ochotona,nubrica,LC,Unknown
Ochotonidae,Ochotona,opaca,LC,Stable
Ochotonidae,Ochotona,pallasii,LC,Stable
Ochotonidae,Ochotona,princeps,LC,Decreasing
Ochotonidae,Ochotona,pusilla,LC,Decreasing
Ochotonidae,Ochotona,roylei,LC,Stable
Ochotonidae,Ochotona,rufescens,LC,Stable
Ochotonidae,Ochotona,rutila,LC,Stable
Ochotonidae,Ochotona,syrinx,LC,Unknown
Ochotonidae,Ochotona,thibetana,LC,Unknown
Ochotonidae,Ochotona,thomasi,LC,Unknown
Ochotonidae,Ochotona,turuchanensis,LC,Unknown
Leporidae,Poelagus,marjorita,LC,Decreasing
Leporidae,Pronolagus,crassicaudatus,LC,Decreasing
Leporidae,Pronolagus,randensis,LC,Decreasing
Leporidae,Pronolagus,rupestris,LC,Unknown
Leporidae,Pronolagus,saundersiae,LC,Unknown
Leporidae,Sylvilagus,aquaticus,LC,Decreasing
Leporidae,Sylvilagus,audubonii,LC,Decreasing
Leporidae,Sylvilagus,bachmani,LC,Stable
Leporidae,Sylvilagus,cunicularius,LC,Decreasing
Leporidae,Sylvilagus,floridanus,LC,Increasing
Leporidae,Sylvilagus ,gabbi,LC,Unknown
Leporidae,Sylvilagus,nuttallii,LC,Decreasing
Leporidae,Sylvilagus,palustris,LC,Unknown
Leporidae,Lepus,brachyurus,LC,Stable
Leporidae,Lepus,coreanus,LC,Decreasing
Leporidae,Lepus,townsendii,LC,Decreasing
Leporidae,Lepus,yarkandensis,NT,Decreasing
Leporidae,Sylvilagus,obscurus,NT,Decreasing
Leporidae,Lepus,callotis,VU,Decreasing
Leporidae,Lepus,castroviejoi,VU,Decreasing
Leporidae,Lepus,corsicanus,VU,Decreasing
Leporidae,Lepus,insularis,VU,Stable
Leporidae,Sylvilagus,dicei,VU,Decreasing
Leporidae,Sylvilagus,robustus,VU,Decreasing
Leporidae,Sylvilagus,tapetillus,VU,Unknown
Leporidae,Sylvilagus,transitionalis,VU,Decreasing
