species,decimallongitude,decimallatitude
Ochotona_princeps,-126.3686083,52.21987222
Ochotona_princeps,-126.3681,52.21971944
Ochotona_princeps,-126.367975,52.21972222
Ochotona_princeps,-126.3666944,52.21430833
Ochotona_princeps,-126.3652083,52.21400556
Ochotona_princeps,-126.3650667,52.214925
Ochotona_princeps,-126.3649639,52.21482778
Ochotona_princeps,-126.3645833,52.21139722
Ochotona_princeps,-126.3644806,52.21686389
Ochotona_princeps,-126.3642583,52.21669444
Ochotona_princeps,-126.3641917,52.21216667
Ochotona_princeps,-126.3641361,52.21161944
Ochotona_princeps,-126.3640917,52.21655556
Ochotona_princeps,-126.3632056,52.21572778
Ochotona_princeps,-126.3625194,52.21611944
Ochotona_princeps,-126.3611472,52.21769167
Ochotona_princeps,-124.8333,51.95
Ochotona_princeps,-123.270551,43.802916
Ochotona_princeps,-123.0342389,50.58246389
Ochotona_princeps,-123.0336389,50.580775
Ochotona_princeps,-123.0325917,50.57666389
Ochotona_princeps,-123.0325722,50.57969722
Ochotona_princeps,-123.0325611,50.58128333
Ochotona_princeps,-123.0322972,50.57833611
Ochotona_princeps,-123.0309667,50.58745833
Ochotona_princeps,-123.0305972,50.58238056
Ochotona_princeps,-123.0299944,50.58759444
Ochotona_princeps,-123.0298583,50.57656111
Ochotona_princeps,-123.0296556,50.58611111
Ochotona_princeps,-123.0288111,50.5865
Ochotona_princeps,-123.0284167,50.58633889
Ochotona_princeps,-123.0281972,50.58381389
Ochotona_princeps,-123.02814,50.58189
Ochotona_princeps,-123.0281389,50.58188611
Ochotona_princeps,-123.0277861,50.58268333
Ochotona_princeps,-123.0275833,50.58281667
Ochotona_princeps,-123.0252417,50.57951944
Ochotona_princeps,-123.02524,50.57952
Ochotona_princeps,-122.9833,50.1
Ochotona_princeps,-122.95,50.1333
Ochotona_princeps,-122.3325,45.2897
Ochotona_princeps,-122.315972,42.444491
Ochotona_princeps,-122.2222419,41.763127
Ochotona_princeps,-122.2111,42.3789
Ochotona_princeps,-122.2087951,41.7968922
Ochotona_princeps,-122.2016503,41.3505217
Ochotona_princeps,-122.19373,41.4091344
Ochotona_princeps,-122.1822,42.5374
Ochotona_princeps,-122.181674,41.359043
Ochotona_princeps,-122.1444,42.9389
Ochotona_princeps,-122.1417,44.2803
Ochotona_princeps,-122.1142,45.5761
Ochotona_princeps,-122.1018,44.2142
Ochotona_princeps,-122.0706,42.9125
Ochotona_princeps,-122.0658,43.1531
Ochotona_princeps,-122.0383,43.7261
Ochotona_princeps,-122.0067,44.4017
Ochotona_princeps,-122.0034,44.4186
Ochotona_princeps,-121.9947,42.7047
Ochotona_princeps,-121.95,47.15
Ochotona_princeps,-121.937,44.3945
Ochotona_princeps,-121.9142,47.0384284
Ochotona_princeps,-121.89951,46.84628
Ochotona_princeps,-121.8881,46.8789
Ochotona_princeps,-121.88806,46.87889
Ochotona_princeps,-121.881094,44.203742
Ochotona_princeps,-121.8663,44.398
Ochotona_princeps,-121.8612,44.4016
Ochotona_princeps,-121.8490887,46.9879
Ochotona_princeps,-121.8453,43.6161
Ochotona_princeps,-121.8428662,48.797966
Ochotona_princeps,-121.8411,46.9353
Ochotona_princeps,-121.83883,46.98535
Ochotona_princeps,-121.8291333,44.24762778
Ochotona_princeps,-121.8272222,44.24625833
Ochotona_princeps,-121.82444,46.91556
Ochotona_princeps,-121.8244,46.9156
Ochotona_princeps,-121.8222528,44.24553611
Ochotona_princeps,-121.8218972,44.24448889
Ochotona_princeps,-121.8217528,44.24536389
Ochotona_princeps,-121.8216444,44.24518056
Ochotona_princeps,-121.8149444,44.26427778
Ochotona_princeps,-121.8090389,44.26098611
Ochotona_princeps,-121.8086,44.26
Ochotona_princeps,-121.7864,44.8072
Ochotona_princeps,-121.77806,46.79806
Ochotona_princeps,-121.7611,48.3147
Ochotona_princeps,-121.7592417,46.0522
Ochotona_princeps,-121.759025,46.05243056
Ochotona_princeps,-121.7586889,46.05279167
Ochotona_princeps,-121.7580944,46.05275833
Ochotona_princeps,-121.7577611,46.05300556
Ochotona_princeps,-121.7568278,46.05335556
Ochotona_princeps,-121.755891,46.06006217
Ochotona_princeps,-121.7485611,46.32937222
Ochotona_princeps,-121.7484639,46.32922222
Ochotona_princeps,-121.7482111,46.32991944
Ochotona_princeps,-121.7479972,46.329725
Ochotona_princeps,-121.7479889,46.33031389
Ochotona_princeps,-121.7479361,46.33020556
Ochotona_princeps,-121.7467694,46.33047778
Ochotona_princeps,-121.7062812,48.9037095
Ochotona_princeps,-121.6986,44.0831
Ochotona_princeps,-121.6822,48.8633
Ochotona_princeps,-121.6811,48.8636
Ochotona_princeps,-121.6783,48.9731
Ochotona_princeps,-121.67675,48.93014
Ochotona_princeps,-121.6591661,48.8636
Ochotona_princeps,-121.6558,46.9114
Ochotona_princeps,-121.6411,46.915
Ochotona_princeps,-121.6378,46.9256
Ochotona_princeps,-121.6344,48.9519
Ochotona_princeps,-121.62728,40.34728
Ochotona_princeps,-121.61624,48.72194
Ochotona_princeps,-121.5983075,41.6119421
Ochotona_princeps,-121.59556,46.54487
Ochotona_princeps,-121.5909877,41.7389099
Ochotona_princeps,-121.58768,46.54688
Ochotona_princeps,-121.58727,46.54702
Ochotona_princeps,-121.58333,46.86722
Ochotona_princeps,-121.575,48.8375
Ochotona_princeps,-121.5739,46.9231
Ochotona_princeps,-121.57251,41.69841
Ochotona_princeps,-121.56884,40.41232
Ochotona_princeps,-121.55,50.0667
Ochotona_princeps,-121.5359,46.6861
Ochotona_princeps,-121.5319,40.4147
Ochotona_princeps,-121.51845,40.46392
Ochotona_princeps,-121.51794,40.46886
Ochotona_princeps,-121.5144,46.8722
Ochotona_princeps,-121.50694,46.48778
Ochotona_princeps,-121.4934073,40.4690676
Ochotona_princeps,-121.47889,46.92833
Ochotona_princeps,-121.4719669,40.4635115
Ochotona_princeps,-121.4675,47.45
Ochotona_princeps,-121.4556497,47.3569122
Ochotona_princeps,-121.45472,47.46722
Ochotona_princeps,-121.4475,46.84972
Ochotona_princeps,-121.4464,46.1511
Ochotona_princeps,-121.4418428,40.4596926
Ochotona_princeps,-121.4383,47.3464
Ochotona_princeps,-121.4328,46.7725
Ochotona_princeps,-121.40694,47.97361
Ochotona_princeps,-121.368973,40.44352
Ochotona_princeps,-121.3633,48.8756
Ochotona_princeps,-121.3592,46.655
Ochotona_princeps,-121.3381,47.3225
Ochotona_princeps,-121.3359116,47.0872
Ochotona_princeps,-121.29919,40.56192
Ochotona_princeps,-121.2876191,40.5606452
Ochotona_princeps,-121.255,46.795
Ochotona_princeps,-121.1239,46.7078309
Ochotona_princeps,-121.1194,47.7494
Ochotona_princeps,-121.1128,48.1114
Ochotona_princeps,-121.1042243,47.75963482
Ochotona_princeps,-121.0890487,47.76986964
Ochotona_princeps,-121.0847,47.7464
Ochotona_princeps,-121.0661,48.7319
Ochotona_princeps,-121.06605,48.0972
Ochotona_princeps,-121.05545,47.80307
Ochotona_princeps,-121.05504,47.80337
Ochotona_princeps,-121.0417792,47.7464
Ochotona_princeps,-120.9753,46.7583
Ochotona_princeps,-120.9666667,47.13333333
Ochotona_princeps,-120.8415137,47.43435876
Ochotona_princeps,-120.737726,40.55566
Ochotona_princeps,-120.69194,47.31778
Ochotona_princeps,-120.6425444,48.51309444
Ochotona_princeps,-120.63979,48.51048
Ochotona_princeps,-120.6397889,48.51047778
Ochotona_princeps,-120.6368222,48.51106111
Ochotona_princeps,-120.63682,48.51106
Ochotona_princeps,-120.6338528,48.50951667
Ochotona_princeps,-120.6337278,48.50939722
Ochotona_princeps,-120.6334667,48.50950833
Ochotona_princeps,-120.6331861,48.50953333
Ochotona_princeps,-120.6322861,48.50820556
Ochotona_princeps,-120.6316611,48.50793889
Ochotona_princeps,-120.6305389,48.50703611
Ochotona_princeps,-120.6305194,48.50726389
Ochotona_princeps,-120.6304778,48.506975
Ochotona_princeps,-120.6295556,48.50708333
Ochotona_princeps,-120.6280417,48.506975
Ochotona_princeps,-120.6263306,48.50630833
Ochotona_princeps,-120.6259944,48.50605
Ochotona_princeps,-120.55833,47.24361
Ochotona_princeps,-120.55,39.6214
Ochotona_princeps,-120.5083,49.4583
Ochotona_princeps,-120.4564,40.8915
Ochotona_princeps,-120.39778,47.29194
Ochotona_princeps,-120.3282225,41.7998952
Ochotona_princeps,-120.3175448,39.3177501
Ochotona_princeps,-120.2675673,41.3349759
Ochotona_princeps,-120.24141,39.14784
Ochotona_princeps,-120.2388194,41.36990833
Ochotona_princeps,-120.223,41.30434
Ochotona_princeps,-120.219945,41.378506
Ochotona_princeps,-120.213183,41.3836488
Ochotona_princeps,-120.2131682,41.3852332
Ochotona_princeps,-120.2124167,41.37862778
Ochotona_princeps,-120.2123139,41.37831389
Ochotona_princeps,-120.15687,38.84513
