date,state,county,cases
2020-04-01,Georgia,Cobb,304
2020-04-01,Georgia,DeKalb,360
2020-04-01,Georgia,Fulton,638
2020-04-01,Georgia,Gwinnett,257
2020-04-01,Georgia,Hall,71
2020-04-02,Georgia,Cobb,341
2020-04-02,Georgia,DeKalb,409
2020-04-02,Georgia,Fulton,747
2020-04-02,Georgia,Gwinnett,303
2020-04-02,Georgia,Hall,72
2020-04-03,Georgia,Cobb,422
2020-04-03,Georgia,DeKalb,483
2020-04-03,Georgia,Fulton,910
2020-04-03,Georgia,Gwinnett,353
2020-04-03,Georgia,Hall,81
2020-04-04,Georgia,Cobb,453
2020-04-04,Georgia,DeKalb,539
2020-04-04,Georgia,Fulton,959
2020-04-04,Georgia,Gwinnett,400
2020-04-04,Georgia,Hall,117
2020-04-05,Georgia,Cobb,474
2020-04-05,Georgia,DeKalb,549
2020-04-05,Georgia,Fulton,970
2020-04-05,Georgia,Gwinnett,410
2020-04-05,Georgia,Hall,117
2020-04-06,Georgia,Cobb,517
2020-04-06,Georgia,DeKalb,600
2020-04-06,Georgia,Fulton,1053
2020-04-06,Georgia,Gwinnett,455
2020-04-06,Georgia,Hall,138
2020-04-07,Georgia,Cobb,566
2020-04-07,Georgia,DeKalb,673
2020-04-07,Georgia,Fulton,1185
2020-04-07,Georgia,Gwinnett,540
2020-04-07,Georgia,Hall,215
2020-04-08,Georgia,Cobb,608
2020-04-08,Georgia,DeKalb,732
2020-04-08,Georgia,Fulton,1261
2020-04-08,Georgia,Gwinnett,586
2020-04-08,Georgia,Hall,233
2020-04-09,Georgia,Cobb,653
2020-04-09,Georgia,DeKalb,766
2020-04-09,Georgia,Fulton,1336
2020-04-09,Georgia,Gwinnett,618
2020-04-09,Georgia,Hall,247
2020-04-10,Georgia,Cobb,681
2020-04-10,Georgia,DeKalb,826
2020-04-10,Georgia,Fulton,1417
2020-04-10,Georgia,Gwinnett,669
2020-04-10,Georgia,Hall,273
2020-04-11,Georgia,Cobb,705
2020-04-11,Georgia,DeKalb,848
2020-04-11,Georgia,Fulton,1446
2020-04-11,Georgia,Gwinnett,681
2020-04-11,Georgia,Hall,276
2020-04-12,Georgia,Cobb,728
2020-04-12,Georgia,DeKalb,893
2020-04-12,Georgia,Fulton,1495
2020-04-12,Georgia,Gwinnett,701
2020-04-12,Georgia,Hall,282
2020-04-13,Georgia,Cobb,816
2020-04-13,Georgia,DeKalb,1006
2020-04-13,Georgia,Fulton,1635
2020-04-13,Georgia,Gwinnett,766
2020-04-13,Georgia,Hall,319
2020-04-14,Georgia,Cobb,895
2020-04-14,Georgia,DeKalb,1144
2020-04-14,Georgia,Fulton,1812
2020-04-14,Georgia,Gwinnett,815
2020-04-14,Georgia,Hall,363
2020-04-15,Georgia,Cobb,950
2020-04-15,Georgia,DeKalb,1225
2020-04-15,Georgia,Fulton,1902
2020-04-15,Georgia,Gwinnett,885
2020-04-15,Georgia,Hall,402
2020-04-16,Georgia,Cobb,1014
2020-04-16,Georgia,DeKalb,1260
2020-04-16,Georgia,Fulton,1945
2020-04-16,Georgia,Gwinnett,917
2020-04-16,Georgia,Hall,526
2020-04-17,Georgia,Cobb,1085
2020-04-17,Georgia,DeKalb,1366
2020-04-17,Georgia,Fulton,2037
2020-04-17,Georgia,Gwinnett,1037
2020-04-17,Georgia,Hall,605
2020-04-18,Georgia,Cobb,1104
2020-04-18,Georgia,DeKalb,1408
2020-04-18,Georgia,Fulton,2065
2020-04-18,Georgia,Gwinnett,1059
2020-04-18,Georgia,Hall,607
2020-04-19,Georgia,Cobb,1148
2020-04-19,Georgia,DeKalb,1473
2020-04-19,Georgia,Fulton,2131
2020-04-19,Georgia,Gwinnett,1124
2020-04-19,Georgia,Hall,625
2020-04-20,Georgia,Cobb,1196
2020-04-20,Georgia,DeKalb,1520
2020-04-20,Georgia,Fulton,2198
2020-04-20,Georgia,Gwinnett,1181
2020-04-20,Georgia,Hall,702
2020-04-21,Georgia,Cobb,1230
2020-04-21,Georgia,DeKalb,1563
2020-04-21,Georgia,Fulton,2206
2020-04-21,Georgia,Gwinnett,1238
2020-04-21,Georgia,Hall,756
2020-04-22,Georgia,Cobb,1272
2020-04-22,Georgia,DeKalb,1609
2020-04-22,Georgia,Fulton,2255
2020-04-22,Georgia,Gwinnett,1273
2020-04-22,Georgia,Hall,907
2020-04-23,Georgia,Cobb,1326
2020-04-23,Georgia,DeKalb,1689
2020-04-23,Georgia,Fulton,2436
2020-04-23,Georgia,Gwinnett,1351
2020-04-23,Georgia,Hall,963
2020-04-24,Georgia,Cobb,1368
2020-04-24,Georgia,DeKalb,1721
2020-04-24,Georgia,Fulton,2500
2020-04-24,Georgia,Gwinnett,1382
2020-04-24,Georgia,Hall,1022
2020-04-25,Georgia,Cobb,1395
2020-04-25,Georgia,DeKalb,1788
2020-04-25,Georgia,Fulton,2543
2020-04-25,Georgia,Gwinnett,1460
2020-04-25,Georgia,Hall,1032
2020-04-26,Georgia,Cobb,1428
2020-04-26,Georgia,DeKalb,1800
2020-04-26,Georgia,Fulton,2545
2020-04-26,Georgia,Gwinnett,1504
2020-04-26,Georgia,Hall,1033
2020-04-27,Georgia,Cobb,1483
2020-04-27,Georgia,DeKalb,1855
2020-04-27,Georgia,Fulton,2680
2020-04-27,Georgia,Gwinnett,1545
2020-04-27,Georgia,Hall,1098
2020-04-28,Georgia,Cobb,1539
2020-04-28,Georgia,DeKalb,1907
2020-04-28,Georgia,Fulton,2753
2020-04-28,Georgia,Gwinnett,1620
2020-04-28,Georgia,Hall,1185
2020-04-29,Georgia,Cobb,1581
2020-04-29,Georgia,DeKalb,1980
2020-04-29,Georgia,Fulton,2785
2020-04-29,Georgia,Gwinnett,1744
2020-04-29,Georgia,Hall,1261
2020-04-30,Georgia,Cobb,1621
2020-04-30,Georgia,DeKalb,2027
2020-04-30,Georgia,Fulton,2821
2020-04-30,Georgia,Gwinnett,1793
2020-04-30,Georgia,Hall,1346
2020-05-01,Georgia,Cobb,1679
2020-05-01,Georgia,DeKalb,2073
2020-05-01,Georgia,Fulton,2880
2020-05-01,Georgia,Gwinnett,1848
2020-05-01,Georgia,Hall,1482
2020-05-02,Georgia,Cobb,1749
2020-05-02,Georgia,DeKalb,2148
2020-05-02,Georgia,Fulton,2928
2020-05-02,Georgia,Gwinnett,1934
2020-05-02,Georgia,Hall,1694
2020-05-03,Georgia,Cobb,1768
2020-05-03,Georgia,DeKalb,2184
2020-05-03,Georgia,Fulton,2981
2020-05-03,Georgia,Gwinnett,1980
2020-05-03,Georgia,Hall,1700
