Clade,Long,Lat
purple,-103.41536,37.70319
blue,-108.869931,31.943009
blue,-109.15076,31.91259
green,-99.42567,39.1137
green,-99.00036,39.0307
blue,-107.8428333,32.3675
blue,-108.88875,31.94322
purple,-99.9101,36.9586
purple,-97.83816,37.02347
purple,-100.78118,37.13912
purple,-99.85324662,35.15165421
blue,-109.2074889,31.62443056
blue,-109.11222,31.90903
purple,-100.46707,37.21475
purple,-99.10786,37.4661
purple,-100.7822,37.12771
purple,-102.8517467,36.81620278
blue,-109.1589694,31.65231944
purple,-98.0207,38.696014
purple,-98.69531,37.13965
purple,-99.15667,37.51368
purple,-102.01588,37.51959
purple,-99.78271819,35.0942235
purple,-103.329031,37.589185
purple,-102.78673,36.6629
purple,-98.96539,37.09546
green,-98.1511,39.0794
purple,-99.9145693,34.95179125
purple,-103.5785,37.76283333
purple,-99.6637,35.8934
purple,-100.10749,37.0531
purple,-101.4834,37.07085
purple,-99.4764639,36.64099493
blue,-108.969717,31.932925
blue,-106.777779,32.312222
purple,-99.87469,37.19376
green,-98.8996,39.17528
purple,-101.483188,37.054774
green,-96.495885,37.567365
blue,-106.7740167,32.53023333
purple,-99.11038,37.25453
green,-99.0196,38.7994
blue,-107.984478,32.558056
yellow,-99.407555,28.32603
red,-101.947293,35.419743
red,-100.950556,34.547778
red,-100.704444,34.1525
red,-102.069583,31.912383
red,-100.4307774,32.15489916
red,-102.544595,37.659408
red,-102.724035,37.235833
yellow,-97.898467,28.888123
yellow,-97.897358,28.890415
yellow,-97.845914,28.810068
yellow,-103.488,30.0032
red,-102.327828,31.893113
red,-100.344618,34.117351
red,-103.663,35.1833
red,-104.63,32.28549
red,-104.608,32.28812
red,-101.05,34.4
