Species,Range,Emergence,Months_Present,Wing_color,Size
Circotettix_stenometopus,5,8,2,2,29
Circotettix_shastanus,7,7,4,2,34
Circotettix_crotalum,8,6,3,2,36.5
Encoptolophus_robustus,8,7,4,6,18
Trimerotropis_whitei,8,7,5,2,24.5
Circotettix_maculatus,9,7,3,0,27.5
Derotmema_saussureanum,9,6,4,2,21.5
Trimerotropis_pacifica,9,7,4,5,28
Trimerotropis_topanga,9,6,4,5,27
Agymnastus_ingens,10,7,3,2,31.5
Anconia_hebardi,10,6,4,3,28.5
Trimerotropis_fratercula,10,7,3,2,30.5
Xanthippus_olancha,10,6,5,1,33
Agymnastus_venerabilis,11,6,6,2,39
Arphia_behrensi,11,5,5,2,28
Arphia_granulata,11,5,8,2,30
Heliastus_subroseus,11,5,5,5,26.5
Trachyrhachys_coronata,11,6,5,2,23.5
Trimerotropis_agrestis,11,6,2,2,30
Trimerotropis_albescens,11,6,4,5,23.5
Trimerotropis_huroniana,11,7,3,2,54
Trimerotropis_thalassica,11,6,4,7,26.5
Arphia_ramona,12,4,7,1,28
Conozoa_rebellis,12,5,6,2,24.5
Dissosteira_pictipennis,12,6,5,5,25
Hippopedon_gracilipes,12,4,6,2,20.5
Lactista_elota,12,5,4,2,23.5
Spharagemon_saxatile,12,5,3,5,29.5
Trimerotropis_barnumi,12,5,3,2,33
Trimerotropis_saxatilis,12,5,4,5,26.5
Anconia_integra,13,4,9,6,29
Chortophaga_australior,13,5,10,6,24
Conozoa_carinata,13,4,8,2,21
Derotmema_delicatulum,13,5,3,2,21
Dissosteira_spurcata,13,6,5,6,37.5
Hadrotettix_magnificus,13,5,4,8,44.5
Heliastus_benjamini,13,6,5,3,20.5
Heliastus_sumichrasti,13,5,6,1,25
Lactista_aztecus,13,3,9,2,35
Lactista_gibbosus,13,5,9,2,22.5
Mestobregma_impexum,13,5,5,2,25
Mestobregma_terricolor,13,6,5,10,25.5
Pardalophora_saussurei,13,5,5,1,44.5
Spharagemon_marmorata_picta,13,1,12,2,28.5
Trachyrhachys_aspera,13,6,5,8,19.5
Trimerotropis_diversellus,13,5,6,5,31
Trimerotropis_inconspicua,13,5,6,2,24.5
Circotettix_carlinianus,14,6,6,6,34.5
Circotettix_undulatus,14,4,10,8,37.5
Conozoa_sulcifrons,14,3,9,2,23
Cratypedes_lateritius,14,5,6,2,29.5
Derotmema_laticinctum,14,7,6,2,19.5
Dissosteira_longipennis,14,7,6,0,45
Hippopedon_capito,14,7,4,2,23.5
Leprus_intermedius,14,5,11,3,32
Leprus_wheeleri,14,6,5,8,40
Pardalophora_haldemani,14,5,6,2,34.5
Trimerotropis_californica,14,6,5,5,30
Trimerotropis_cincta,14,6,6,2,24.5
Trimerotropis_cyaneipennis,14,6,6,3,30
Trimerotropis_fontana,14,5,6,6,25.5
Trimerotropis_gracilis,14,6,6,2,28
Trimerotropis_melanoptera,14,6,6,0,36
Trimerotropis_modesta,14,5,5,5,55
Trimerotropis_occidentalis,14,5,8,3,23.5
Trimerotropis_pistrinaria,14,6,5,5,35
Trimerotropis_pseudofasciata,14,6,6,3,29.5
Trimerotropis_salina,14,5,7,5,28.5
Trimerotropis_sparsa,14,6,6,6,28
Trimerotropis_verruculata_suffusa,14,6,6,2,31.5
Xanthippus_montanus,14,4,5,2,35
Arphia_simplex,15,4,10,2,32
Arphia_sulphurea,15,4,7,2,27
Arphia_xanthoptera,15,5,6,2,34.5
Circotettix_rabula,15,6,6,2,35
Conozoa_texana,15,3,9,2,23.5
Cratypedes_neglectus,15,5,7,2,28
Derotmema_haydeni,15,4,6,2,21
Encoptolophus_costalis,15,4,10,6,20
Encoptolophus_sordidus,15,4,11,6,25
Encoptolophus_subgracilis,15,3,10,6,23.5
Hadrotettix_trifasciatus,15,6,6,2,31.5
Mestobregma_plattei,15,5,5,2,27
Pardalophora_apiculata,15,4,5,10,37
Pardalophora_phoenicoptera,15,5,5,1,39
Spharagemon_bolli,15,4,4,5,45
Spharagemon_campestris,15,5,6,5,27.5
Spharagemon_collare,15,4,6,5,27
Spharagemon_cristatum,15,5,6,5,34
Spharagemon_equale,15,5,7,5,36
Trimerotropis_latifasciata,15,4,7,5,35.5
Xanthippus_corallipes,15,5,5,2,42
Arphia_conspersa,16,5,5,2,22.5
Arphia_pseudonietana,16,5,7,10,35.5
Chortophaga_viridifasciata,16,3,6,8,26.5
Dissosteira_carolina,16,5,9,0,39.5
Trachyrhachys_kiowa,16,2,8,2,22.5
Trimerotropis_maritima,16,3,12,2,40
Trimerotropis_pallidipennis,16,4,8,2,30
