gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	recordedByID	identifiedByID
2803078108																										50359044										CC_BY_NC_4_0			2020-06-22T01:55:21Z			https://www.inaturalist.org/observations/50359044				© drjackson some rights reserved	drjackson												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/50359044	50359044		drjackson																												2020-06-20T11:04:21	15:04:21Z			2020	6	20	Sat Jun 20 2020 11:04:21 GMT-0400 (EDT)															US	Florida				Biscayne Bay, FL, US							25.646903	-80.197058	4.0																																111732963			ericroscoe	2020-06-21T02:50:01				238252								Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-07-21T08:52:09.631Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-21T08:52:09.631Z	2020-07-21T07:10:17.413Z	false			
2803056766																										50503324										CC_BY_NC_4_0			2020-06-23T17:33:08Z			https://www.inaturalist.org/observations/50503324				© pythonbob some rights reserved	pythonbob												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/50503324	50503324		pythonbob																												2020-06-01T02:58:03	06:58:03Z			2020	6	1	Mon Jun 01 2020 02:58:03 GMT-0400 (EDT)															US	Florida				Everglades National Park, Homestead, FL, US							25.417412	-80.77973	5.0																																111995537			pythonbob	2020-06-22T02:06:22				238252								Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-07-21T08:52:27.998Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-21T08:52:27.998Z	2020-07-21T07:10:17.413Z	false			
2626473197																										46779419										CC_BY_NC_4_0			2020-07-11T03:27:33Z			https://www.inaturalist.org/observations/46779419				© jdevans7 some rights reserved	jdevans7												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 29981m at the request of the observer			https://www.inaturalist.org/observations/46779419	46779419		jdevans7																In Tricolored Heron nest												2020-05-21T12:26:58	16:26:58Z			2020	5	21	Thu May 21 2020 12:26:58 GMT-0400 (EDT)															US	Florida				Everglades National Park, US-FL, US							25.290481	-80.723525	29981.0																																104661743			jdevans7	2020-05-21T22:42:20				238252								Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-07-21T08:51:45.897Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-21T08:51:45.897Z	2020-07-21T07:10:17.413Z	false			
2626153762																										41480484										CC_BY_NC_4_0			2020-05-22T17:42:54Z			https://www.inaturalist.org/observations/41480484				© tgarrison80 some rights reserved	tgarrison80												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/41480484	41480484		tgarrison80																												2007-07-13T00:00:00				2007	7	13	2007-07-13															US	Florida				Miami-Dade County, FL, USA							25.40365	-80.544548	440.0																																93831793			tgarrison80	2020-04-05T21:13:42				238252								Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-07-21T08:52:19.409Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-21T08:52:19.409Z	2020-07-21T07:10:17.413Z	false			
2620117943																										44812604										CC_BY_NC_4_0			2020-05-11T00:31:00Z			https://www.inaturalist.org/observations/44812604				© Michiko some rights reserved	Michiko												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/44812604	44812604		Michiko																												2013-01-07T20:37:55	01:37:55Z			2013	1	7	2013-01-07 8:37:55 PM MST															US	Florida				Flamingo, FL 33034, USA							25.41865	-80.574144	21.0																																100615876			Michiko	2020-05-03T23:16:05				238252								Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-07-21T08:51:42.648Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-21T08:51:42.648Z	2020-07-21T07:10:17.413Z	false			
2620047364																										22727638										CC_BY_4_0			2020-05-10T17:42:37Z			https://www.inaturalist.org/observations/22727638				© Brandon Bourassa some rights reserved	Brandon Bourassa												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/22727638	22727638		Brandon Bourassa																												2018-07-01T19:21:54	01:21:54Z			2018	7	1	Sun Jul 01 2018 19:21:54 GMT-0600 (MDT)															US	Florida				Everglades National Park, Homestead, FL, US							25.332455	-80.801588	24.0																																50647574			Brandon Bourassa	2019-04-19T22:03:38				238252								Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-07-21T08:51:36.748Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-21T08:51:36.748Z	2020-07-21T07:10:17.413Z	false			
2609349249																										42953262										CC_BY_NC_4_0			2020-06-28T21:49:32Z			https://www.inaturalist.org/observations/42953262				© colanegra some rights reserved	colanegra												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 29981m at the request of the observer			https://www.inaturalist.org/observations/42953262	42953262		colanegra																About 6' in length basking on a canal bank.												2009-03-22T12:31:00	17:31:00Z			2009	3	22	2009/03/22 12:31 PM CDT															US	Florida				Miami-Dade County, US-FL, US							25.357174	-80.422351	29981.0																																97122018			colanegra	2020-04-23T14:25:28				238252								Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-07-21T08:51:46.003Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84		true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-21T08:51:46.003Z	2020-07-21T07:10:17.413Z	false			
2609343389																										42516793										CC_BY_NC_4_0			2020-05-06T15:18:45Z			https://www.inaturalist.org/observations/42516793				© laetitiaduret some rights reserved	laetitiaduret												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/42516793	42516793		laetitiaduret																												2019-12-27T18:09:48	23:09:48Z			2019	12	27	2019-12-27 6:09:48 PM EST															US	Florida				Big Cypress, FL, USA							25.899154	-81.305159	1334.0																																100479929			dodomae98	2020-05-03T15:23:31				238252								Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-07-21T08:51:47.259Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-21T08:51:47.259Z	2020-07-21T07:10:17.413Z	false			
2609249626																										42893072										CC_BY_NC_4_0			2020-05-06T15:11:13Z			https://www.inaturalist.org/observations/42893072				© teresap some rights reserved	teresap												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/42893072	42893072		teresap																This snake was caught and handled by a park ranger												2012-03-22T12:10:00	16:10:00Z			2012	3	22	2012/03/22 12:10 PM EDT															US	Florida				Everglades National Park, FL, USA							25.403204	-80.961975	37812.0																																96997860			teresap	2020-04-22T21:28:28				238252								Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-07-21T08:52:07.174Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-21T08:52:07.174Z	2020-07-21T07:10:17.413Z	false			
2574277499																										38443672										CC_BY_NC_4_0			2020-05-07T15:08:06Z			https://www.inaturalist.org/observations/38443672				© Isaac Lord some rights reserved	Isaac Lord												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/38443672	38443672		Isaac Lord																												2020-02-05T09:47:00	15:47:00Z			2020	2	5	2020/02/05 9:47 AM CST															US	Florida				33000 Tamiami Trail E, Ochopee, FL 34141, USA							25.761774	-80.658461	244.0																																86375709			Isaac Lord	2020-02-08T23:35:43				238252								Python bivittatus Kuhl, 1820								Animalia	Chordata	Reptilia	Squamata	Pythonidae	Python		bivittatus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2020-07-21T08:51:43.794Z							COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84	StillImage	true	false	4820533	4820533	1	44	358	715	4287591	2454645		4820533	Python bivittatus	Python	Python bivittatus Kuhl, 1820	Python bivittatus		DWC_ARCHIVE	2020-07-21T08:51:43.794Z	2020-07-21T07:10:17.413Z	false			
