"","gbifID","abstract","accessRights","accrualMethod","accrualPeriodicity","accrualPolicy","alternative","audience","available","bibliographicCitation","conformsTo","contributor","coverage","created","creator","date","dateAccepted","dateCopyrighted","dateSubmitted","description","educationLevel","extent","format","hasFormat","hasPart","hasVersion","identifier","instructionalMethod","isFormatOf","isPartOf","isReferencedBy","isReplacedBy","isRequiredBy","isVersionOf","issued","language","license","mediator","medium","modified","provenance","publisher","references","relation","replaces","requires","rights","rightsHolder","source","spatial","subject","tableOfContents","temporal","title","type","valid","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceAboveSurface","distanceAboveSurfaceAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","genericName","acceptedScientificName","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","recordedByID","identifiedByID"
"1420",1211831727,NA,"not-for-profit use only",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:88253",NA,NA,NA,NA,NA,NA,NA,NA,"en","CC_BY_NC_4_0",NA,NA,"2018-04-04T00:00:00Z",NA,NA,"",NA,NA,NA,"","Royal Ontario Museum; ROM",NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,"","urn:lsid:biocol.org:col:34909","","ROM","Mammals","Mammalogy","","PRESERVED_SPECIMEN","",NA,"","URI:catalog:ROM:Mammals:88253","88253","M-303","USFWS",NA,NA,NA,"FEMALE","JUVENILE","",NA,"","","skull; skeleton","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","1982-07-19T00:00:00","",NA,NA,1982,7,19,"19820719","","","",NA,NA,"","","",NA,"North America; USA; Florida; Duval","NORTH_AMERICA","","","","US","Florida","Duval",NA,"Jacksonville, Rock Island, Saint Johns River, Near Mouth of Trout Creek","Jacksonville, Rock Island, Saint Johns River, Near Mouth of Trout Creek",NA,NA,NA,NA,"","ROM data parsed by John Wieczorek, 20020402; MaNIS-00 Upload",30.4,-81.616667,NA,NA,NA,"",NA,"",NA,NA,"Unknown (ROM)","","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices","Most likely from the gazetteer in, The Times Atlas of the World, Comprehensive Edition. 1975. John Bartholomew and Son Limited. Edinburgh, Great Britain. xl + 123 plates + 223 pp.","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"Animalia; Chordata; Mammalia; Sirenia; Trichechidae; Trichechus","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","c5c4a23e-2035-4416-ab64-032d6df52ddb","CA","2020-06-08T22:51:49.384Z",NA,NA,NA,NA,NA,NA,"GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T22:51:49.384Z","2020-05-28T23:19:58.342Z","true",NA,"",""
"1421",1211831358,NA,"not-for-profit use only",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:88250",NA,NA,NA,NA,NA,NA,NA,NA,"en","CC_BY_NC_4_0",NA,NA,"2018-04-04T00:00:00Z",NA,NA,"",NA,NA,NA,"","Royal Ontario Museum; ROM",NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,"","urn:lsid:biocol.org:col:34909","","ROM","Mammals","Mammalogy","","PRESERVED_SPECIMEN","",NA,"","URI:catalog:ROM:Mammals:88250","88250","M-295","USFWS",NA,NA,NA,"MALE","JUVENILE","",NA,"","","skull; skeleton","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","1982-05-12T00:00:00","",NA,NA,1982,5,12,"19820512","","","",NA,NA,"","","",NA,"North America; USA; Florida; Brevard","NORTH_AMERICA","","","","US","Florida","Brevard",NA,"East Shore Banana River, Satellite Beach, 46 M W of Chevy Chase Saint","East Shore Banana River, Satellite Beach, 46 M W of Chevy Chase Saint",NA,NA,NA,NA,"","MaNIS-00 Upload; Determined data reloaded. Parsed documentation deleted, 20050314.",28.183333,-80.6,2.76,NA,NA,"",NA,"",NA,NA,"Katie M. Brokamp (UMMZ)","20030106","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices","Not recorded.","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"Animalia; Chordata; Mammalia; Sirenia; Trichechidae; Trichechus","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","c5c4a23e-2035-4416-ab64-032d6df52ddb","CA","2020-06-08T22:51:46.903Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T22:51:46.903Z","2020-05-28T23:19:58.342Z","true",NA,"",""
"1422",1211831280,NA,"not-for-profit use only",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:88251",NA,NA,NA,NA,NA,NA,NA,NA,"en","CC_BY_NC_4_0",NA,NA,"2018-04-04T00:00:00Z",NA,NA,"",NA,NA,NA,"","Royal Ontario Museum; ROM",NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,"","urn:lsid:biocol.org:col:34909","","ROM","Mammals","Mammalogy","","PRESERVED_SPECIMEN","",NA,"","URI:catalog:ROM:Mammals:88251","88251","M-297","USFWS",NA,NA,NA,"MALE","JUVENILE","",NA,"","","skull; skeleton","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","1982-05-24T00:00:00","",NA,NA,1982,5,24,"19820524","","","",NA,NA,"","","",NA,"North America; USA; Florida; Brevard","NORTH_AMERICA","","","","US","Florida","Brevard",NA,"Grant, Indian River, Near Marker 56, South End of Spoil Island","Grant, Indian River, Near Marker 56, South End of Spoil Island",NA,NA,NA,NA,"","MaNIS-00 Upload; Determined data reloaded. Parsed documentation deleted, 20050314.",27.933333,-80.516667,0.2,NA,NA,"",NA,"",NA,NA,"Katie M. Brokamp (UMMZ)","20030106","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices","Not recorded.","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"Animalia; Chordata; Mammalia; Sirenia; Trichechidae; Trichechus","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","c5c4a23e-2035-4416-ab64-032d6df52ddb","CA","2020-06-08T22:51:47.984Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T22:51:47.984Z","2020-05-28T23:19:58.342Z","true",NA,"",""
"1423",1211831278,NA,"not-for-profit use only",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:88252",NA,NA,NA,NA,NA,NA,NA,NA,"en","CC_BY_NC_4_0",NA,NA,"2018-04-04T00:00:00Z",NA,NA,"",NA,NA,NA,"","Royal Ontario Museum; ROM",NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,"","urn:lsid:biocol.org:col:34909","","ROM","Mammals","Mammalogy","","PRESERVED_SPECIMEN","",NA,"","URI:catalog:ROM:Mammals:88252","88252","M-301","USFWS",NA,NA,NA,"FEMALE","JUVENILE","",NA,"","","skull; skeleton","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","1982-06-27T00:00:00","",NA,NA,1982,6,27,"19820627","","","",NA,NA,"","","",NA,"North America; USA; Florida; Brevard","NORTH_AMERICA","","","","US","Florida","Brevard",NA,"Palm Bay, Turkey Creek, In Canal Behind 785 Vance Circle","Palm Bay, Turkey Creek, In Canal Behind 785 Vance Circle",NA,NA,NA,NA,"","MaNIS-00 Upload; Determined data reloaded. Parsed documentation deleted, 20050314.",28.033333,-80.75,0.11,NA,NA,"",NA,"",NA,NA,"Katie M. Brokamp (UMMZ)","20030106","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices","Not recorded.","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"Animalia; Chordata; Mammalia; Sirenia; Trichechidae; Trichechus","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","c5c4a23e-2035-4416-ab64-032d6df52ddb","CA","2020-06-08T22:51:46.922Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T22:51:46.922Z","2020-05-28T23:19:58.342Z","true",NA,"",""
"1424",1211831122,NA,"not-for-profit use only",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:88273",NA,NA,NA,NA,NA,NA,NA,NA,"en","CC_BY_NC_4_0",NA,NA,"2018-04-04T00:00:00Z",NA,NA,"",NA,NA,NA,"","Royal Ontario Museum; ROM",NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,"","urn:lsid:biocol.org:col:34909","","ROM","Mammals","Mammalogy","","PRESERVED_SPECIMEN","",NA,"","URI:catalog:ROM:Mammals:88273","88273","81-42","USFWS",NA,NA,NA,"MALE","ADULT","",NA,"","","skull; skeleton","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","1981-03-31T00:00:00","",NA,NA,1981,3,31,"19810331","","","",NA,NA,"","","",NA,"North America; USA; Florida; Saint Lucie","NORTH_AMERICA","","","","US","Florida","Saint Lucie",NA,"Jensen Beach, West Bank Indian River, Marker 210, 69 M Offshore","Jensen Beach, West Bank Indian River, Marker 210, 69 M Offshore",NA,NA,NA,NA,"","MaNIS-00 Upload; Determined data reloaded. Parsed documentation deleted, 20050314.",27.316667,-80.25,0.09,NA,NA,"",NA,"",NA,NA,"Katie M. Brokamp (UMMZ)","20030107","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices","Not recorded.","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"Animalia; Chordata; Mammalia; Sirenia; Trichechidae; Trichechus","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","c5c4a23e-2035-4416-ab64-032d6df52ddb","CA","2020-06-08T22:51:46.899Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T22:51:46.899Z","2020-05-28T23:19:58.342Z","true",NA,"",""
"1425",1211831114,NA,"not-for-profit use only",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:88269",NA,NA,NA,NA,NA,NA,NA,NA,"en","CC_BY_NC_4_0",NA,NA,"2018-04-04T00:00:00Z",NA,NA,"",NA,NA,NA,"","Royal Ontario Museum; ROM",NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,"","urn:lsid:biocol.org:col:34909","","ROM","Mammals","Mammalogy","","PRESERVED_SPECIMEN","",NA,"","URI:catalog:ROM:Mammals:88269","88269","81-33","USFWS",NA,NA,NA,"MALE","ADULT","",NA,"","","skull; skeleton","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","1981-03-05T00:00:00","",NA,NA,1981,3,5,"19810305","","","",NA,NA,"","","",NA,"North America; USA; Florida; Saint Lucie","NORTH_AMERICA","","","","US","Florida","Saint Lucie",NA,"Indian River, Hutchinson Island, Herman Bay, Near Highway A1a","Indian River, Hutchinson Island, Herman Bay, Near Highway A1a",NA,NA,NA,NA,"","MaNIS-00 Upload; Determined data reloaded. Parsed documentation deleted, 20050314.",27.333333,-80.233333,0.09,NA,NA,"",NA,"",NA,NA,"Katie M. Brokamp (UMMZ)","20030107","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices","Not recorded.","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"Animalia; Chordata; Mammalia; Sirenia; Trichechidae; Trichechus","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","c5c4a23e-2035-4416-ab64-032d6df52ddb","CA","2020-06-08T22:51:49.373Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T22:51:49.373Z","2020-05-28T23:19:58.342Z","true",NA,"",""
"1426",1211831104,NA,"not-for-profit use only",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:88274",NA,NA,NA,NA,NA,NA,NA,NA,"en","CC_BY_NC_4_0",NA,NA,"2018-04-04T00:00:00Z",NA,NA,"",NA,NA,NA,"","Royal Ontario Museum; ROM",NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,"","urn:lsid:biocol.org:col:34909","","ROM","Mammals","Mammalogy","","PRESERVED_SPECIMEN","",NA,"","URI:catalog:ROM:Mammals:88274","88274","81-69","USFWS",NA,NA,NA,"MALE","ADULT","",NA,"","","skull; skeleton","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","1982-01-01T00:00:00","",NA,NA,1982,1,1,"19820101","","","",NA,NA,"","","",NA,"North America; USA; Florida; Lee","NORTH_AMERICA","","","","US","Florida","Lee",NA,"Fort Myers, Caloosahatchee River, S Bank, At Iona Cove Marina","Fort Myers, Caloosahatchee River, S Bank, At Iona Cove Marina",NA,NA,NA,NA,"","ROM data parsed by John Wieczorek, 20020402; MaNIS-00 Upload",26.516667,-81.983333,NA,NA,NA,"",NA,"",NA,NA,"Unknown (ROM)","","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices","Most likely from the gazetteer in, The Times Atlas of the World, Comprehensive Edition. 1975. John Bartholomew and Son Limited. Edinburgh, Great Britain. xl + 123 plates + 223 pp.","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"Animalia; Chordata; Mammalia; Sirenia; Trichechidae; Trichechus","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","c5c4a23e-2035-4416-ab64-032d6df52ddb","CA","2020-06-08T22:51:46.899Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T22:51:46.899Z","2020-05-28T23:19:58.342Z","true",NA,"",""
"1427",1211831102,NA,"not-for-profit use only",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:88255",NA,NA,NA,NA,NA,NA,NA,NA,"en","CC_BY_NC_4_0",NA,NA,"2018-04-04T00:00:00Z",NA,NA,"",NA,NA,NA,"","Royal Ontario Museum; ROM",NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,"","urn:lsid:biocol.org:col:34909","","ROM","Mammals","Mammalogy","","PRESERVED_SPECIMEN","",NA,"","URI:catalog:ROM:Mammals:88255","88255","81-9","USFWS",NA,NA,NA,"FEMALE","ADULT","",NA,"","","skull; skeleton","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","1981-01-26T00:00:00","",NA,NA,1981,1,26,"19810126","","","",NA,NA,"","","",NA,"North America; USA; Florida; Lee","NORTH_AMERICA","","","","US","Florida","Lee",NA,"Fort Myers, Junction of Orange River And Caloosahatchee River","Fort Myers, Junction of Orange River And Caloosahatchee River",NA,NA,NA,NA,"","ROM data parsed by John Wieczorek, 20020402; MaNIS-00 Upload",26.7,-81.816667,NA,NA,NA,"",NA,"",NA,NA,"Unknown (ROM)","","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices","Most likely from the gazetteer in, The Times Atlas of the World, Comprehensive Edition. 1975. John Bartholomew and Son Limited. Edinburgh, Great Britain. xl + 123 plates + 223 pp.","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"Animalia; Chordata; Mammalia; Sirenia; Trichechidae; Trichechus","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","c5c4a23e-2035-4416-ab64-032d6df52ddb","CA","2020-06-08T22:51:45.052Z",NA,NA,NA,NA,NA,NA,"GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T22:51:45.052Z","2020-05-28T23:19:58.342Z","true",NA,"",""
"1428",1211831101,NA,"not-for-profit use only",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:88254",NA,NA,NA,NA,NA,NA,NA,NA,"en","CC_BY_NC_4_0",NA,NA,"2018-04-04T00:00:00Z",NA,NA,"",NA,NA,NA,"","Royal Ontario Museum; ROM",NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,"","urn:lsid:biocol.org:col:34909","","ROM","Mammals","Mammalogy","","PRESERVED_SPECIMEN","",NA,"","URI:catalog:ROM:Mammals:88254","88254","M-304","USFWS",NA,NA,NA,"MALE","JUVENILE","",NA,"","","skull; skeleton","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","1982-08-03T00:00:00","",NA,NA,1982,8,3,"19820803","","","",NA,NA,"","","",NA,"North America; USA; Florida; Sarasota","NORTH_AMERICA","","","","US","Florida","Sarasota",NA,"Osprey, Oscar Scherer State Recreation Area, Off South Creek, Tina Island Drive","Osprey, Oscar Scherer State Recreation Area, Off South Creek, Tina Island Drive",NA,NA,NA,NA,"","ROM data parsed by John Wieczorek, 20020402; MaNIS-00 Upload",27.166667,-82.483333,NA,NA,NA,"",NA,"",NA,NA,"Unknown (ROM)","","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices","Most likely from the gazetteer in, The Times Atlas of the World, Comprehensive Edition. 1975. John Bartholomew and Son Limited. Edinburgh, Great Britain. xl + 123 plates + 223 pp.","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"Animalia; Chordata; Mammalia; Sirenia; Trichechidae; Trichechus","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","c5c4a23e-2035-4416-ab64-032d6df52ddb","CA","2020-06-08T22:51:45.047Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T22:51:45.047Z","2020-05-28T23:19:58.342Z","true",NA,"",""
"1429",1211831067,NA,"not-for-profit use only",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:88267",NA,NA,NA,NA,NA,NA,NA,NA,"en","CC_BY_NC_4_0",NA,NA,"2018-04-04T00:00:00Z",NA,NA,"",NA,NA,NA,"","Royal Ontario Museum; ROM",NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,"","urn:lsid:biocol.org:col:34909","","ROM","Mammals","Mammalogy","","PRESERVED_SPECIMEN","",NA,"","URI:catalog:ROM:Mammals:88267","88267","81-29","USFWS",NA,NA,NA,"MALE","ADULT","",NA,"","","skull; skeleton","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","1981-02-21T00:00:00","",NA,NA,1981,2,21,"19810221","","","",NA,NA,"","","",NA,"North America; USA; Florida; Lee","NORTH_AMERICA","","","","US","Florida","Lee",NA,"Fort Myers, Caloosahatchee River, Punta Blanca Creek","Fort Myers, Caloosahatchee River, Punta Blanca Creek",NA,NA,NA,NA,"","ROM data parsed by John Wieczorek, 20020402; MaNIS-00 Upload",26.533333,-82.033333,NA,NA,NA,"",NA,"",NA,NA,"Unknown (ROM)","","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices","Most likely from the gazetteer in, The Times Atlas of the World, Comprehensive Edition. 1975. John Bartholomew and Son Limited. Edinburgh, Great Britain. xl + 123 plates + 223 pp.","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"Animalia; Chordata; Mammalia; Sirenia; Trichechidae; Trichechus","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","c5c4a23e-2035-4416-ab64-032d6df52ddb","CA","2020-06-08T22:51:47.992Z",NA,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84","","true","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus",NA,"DWC_ARCHIVE","2020-06-08T22:51:47.992Z","2020-05-28T23:19:58.342Z","true",NA,"",""
