"","gbifID","abstract","accessRights","accrualMethod","accrualPeriodicity","accrualPolicy","alternative","audience","available","bibliographicCitation","conformsTo","contributor","coverage","created","creator","date","dateAccepted","dateCopyrighted","dateSubmitted","description","educationLevel","extent","format","hasFormat","hasPart","hasVersion","identifier","instructionalMethod","isFormatOf","isPartOf","isReferencedBy","isReplacedBy","isRequiredBy","isVersionOf","issued","language","license","mediator","medium","modified","provenance","publisher","references","relation","replaces","requires","rights","rightsHolder","source","spatial","subject","tableOfContents","temporal","title","type","valid","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceAboveSurface","distanceAboveSurfaceAccuracy","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","genericName","acceptedScientificName","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","recordedByID","identifiedByID"
"517",2237634822,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-21553-413",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"",NA,NA,"",NA,NA,NA,"","NatureServe",NA,NA,NA,NA,NA,NA,"",NA,"","","","NTSRV","FL-NHP","NatureServe Network Species Occurrence Data","","HUMAN_OBSERVATION","",NA,"","23-21553-413","23-21553-413","","",NA,NA,NA,"","","",NA,"","","","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"4","2006-01-01T00:00:00","",NA,NA,2006,NA,NA,"","","","",NA,NA,"","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.103099","",NA,"","NORTH_AMERICA","","","","US","Florida","Wakulla",NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","","","","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","180684",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","7fd12114-9010-4c13-8f46-990fe04ca882","US","2020-02-10T20:55:10.882Z",NA,NA,NA,NA,NA,NA,"","","false","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus (Linnaeus, 1758)",NA,"DWC_ARCHIVE","2020-02-10T20:55:10.882Z","2020-02-06T06:46:41.360Z","false",NA,"",""
"518",2237571900,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-20684-404",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"",NA,NA,"",NA,NA,NA,"","NatureServe",NA,NA,NA,NA,NA,NA,"",NA,"","","","NTSRV","FL-NHP","NatureServe Network Species Occurrence Data","","HUMAN_OBSERVATION","",NA,"","23-20684-404","23-20684-404","","",NA,NA,NA,"","","",NA,"","","","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"22","1988-01-01T00:00:00","",NA,NA,1988,NA,NA,"","","","",NA,NA,"","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.103099","",NA,"","NORTH_AMERICA","","","","US","Florida","Sarasota",NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","","","","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","180684",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","7fd12114-9010-4c13-8f46-990fe04ca882","US","2020-02-10T20:55:25.928Z",NA,NA,NA,NA,NA,NA,"","","false","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus (Linnaeus, 1758)",NA,"DWC_ARCHIVE","2020-02-10T20:55:25.928Z","2020-02-06T06:46:41.360Z","false",NA,"",""
"519",2237571842,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-27223-406",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"",NA,NA,"",NA,NA,NA,"","NatureServe",NA,NA,NA,NA,NA,NA,"",NA,"","","","NTSRV","FL-NHP","NatureServe Network Species Occurrence Data","","HUMAN_OBSERVATION","",NA,"","23-27223-406","23-27223-406","","",NA,NA,NA,"","","",NA,"","","","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"18","1994-08-31T00:00:00","",NA,NA,1994,8,31,"","","","",NA,NA,"","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.103099","",NA,"","NORTH_AMERICA","","","","US","Florida","St. Johns",NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","","","","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","180684",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","7fd12114-9010-4c13-8f46-990fe04ca882","US","2020-02-10T20:55:17.489Z",NA,NA,NA,NA,NA,NA,"","","false","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus (Linnaeus, 1758)",NA,"DWC_ARCHIVE","2020-02-10T20:55:17.489Z","2020-02-06T06:46:41.360Z","false",NA,"",""
"520",2237571739,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-24411-392",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"",NA,NA,"",NA,NA,NA,"","NatureServe",NA,NA,NA,NA,NA,NA,"",NA,"","","","NTSRV","FL-NHP","NatureServe Network Species Occurrence Data","","HUMAN_OBSERVATION","",NA,"","23-24411-392","23-24411-392","","",NA,NA,NA,"","","",NA,"","","","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"19","1995-03-18T00:00:00","",NA,NA,1995,3,18,"","","","",NA,NA,"","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.103099","",NA,"","NORTH_AMERICA","","","","US","Florida","Monroe",NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","","","","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","180684",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","7fd12114-9010-4c13-8f46-990fe04ca882","US","2020-02-10T20:55:25.927Z",NA,NA,NA,NA,NA,NA,"","","false","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus (Linnaeus, 1758)",NA,"DWC_ARCHIVE","2020-02-10T20:55:25.927Z","2020-02-06T06:46:41.360Z","false",NA,"",""
"521",2237571731,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-24409-359",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"",NA,NA,"",NA,NA,NA,"","NatureServe",NA,NA,NA,NA,NA,NA,"",NA,"","","","NTSRV","FL-NHP","NatureServe Network Species Occurrence Data","","HUMAN_OBSERVATION","",NA,"","23-24409-359","23-24409-359","","",NA,NA,NA,"","","",NA,"","","","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"20","1990-08-27T00:00:00","",NA,NA,1990,8,27,"","","","",NA,NA,"","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.103099","",NA,"","NORTH_AMERICA","","","","US","Florida","Collier",NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","","","","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","180684",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","7fd12114-9010-4c13-8f46-990fe04ca882","US","2020-02-10T20:55:10.075Z",NA,NA,NA,NA,NA,NA,"","","false","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus (Linnaeus, 1758)",NA,"DWC_ARCHIVE","2020-02-10T20:55:10.075Z","2020-02-06T06:46:41.360Z","false",NA,"",""
"522",2237571667,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-15939-394",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"",NA,NA,"",NA,NA,NA,"","NatureServe",NA,NA,NA,NA,NA,NA,"",NA,"","","","NTSRV","FL-NHP","NatureServe Network Species Occurrence Data","","HUMAN_OBSERVATION","",NA,"","23-15939-394","23-15939-394","","",NA,NA,NA,"","","",NA,"","","","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"1","1993-09-14T00:00:00","",NA,NA,1993,9,14,"","","","",NA,NA,"","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.103099","",NA,"","NORTH_AMERICA","","","","US","Florida","Okaloosa",NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","","","","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","180684",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","7fd12114-9010-4c13-8f46-990fe04ca882","US","2020-02-10T20:55:25.926Z",NA,NA,NA,NA,NA,NA,"","","false","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus (Linnaeus, 1758)",NA,"DWC_ARCHIVE","2020-02-10T20:55:25.926Z","2020-02-06T06:46:41.360Z","false",NA,"",""
"523",2237571588,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-19178-356",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"",NA,NA,"",NA,NA,NA,"","NatureServe",NA,NA,NA,NA,NA,NA,"",NA,"","","","NTSRV","FL-NHP","NatureServe Network Species Occurrence Data","","HUMAN_OBSERVATION","",NA,"","23-19178-356","23-19178-356","","",NA,NA,NA,"","","",NA,"","","","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"21","2015-09-02T00:00:00","",NA,NA,2015,9,2,"","","","",NA,NA,"","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.103099","",NA,"","NORTH_AMERICA","","","","US","Florida","Charlotte",NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","","","","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","180684",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","7fd12114-9010-4c13-8f46-990fe04ca882","US","2020-02-10T20:55:10.074Z",NA,NA,NA,NA,NA,NA,"","","false","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus (Linnaeus, 1758)",NA,"DWC_ARCHIVE","2020-02-10T20:55:10.074Z","2020-02-06T06:46:41.360Z","false",NA,"",""
"524",2237571567,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23-19178-404",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"",NA,NA,"",NA,NA,NA,"","NatureServe",NA,NA,NA,NA,NA,NA,"",NA,"","","","NTSRV","FL-NHP","NatureServe Network Species Occurrence Data","","HUMAN_OBSERVATION","",NA,"","23-19178-404","23-19178-404","","",NA,NA,NA,"","","",NA,"","","","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"21","2015-09-02T00:00:00","",NA,NA,2015,9,2,"","","","",NA,NA,"","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.103099","",NA,"","NORTH_AMERICA","","","","US","Florida","Sarasota",NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","","","","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","180684",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","7fd12114-9010-4c13-8f46-990fe04ca882","US","2020-02-10T20:55:25.894Z",NA,NA,NA,NA,NA,NA,"","","false","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus (Linnaeus, 1758)",NA,"DWC_ARCHIVE","2020-02-10T20:55:25.894Z","2020-02-06T06:46:41.360Z","false",NA,"",""
"525",2237558860,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34-9925-1179",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"",NA,NA,"",NA,NA,NA,"","NatureServe",NA,NA,NA,NA,NA,NA,"",NA,"","","","NTSRV","LA-NHP","NatureServe Network Species Occurrence Data","","UNKNOWN","",NA,"","34-9925-1179","34-9925-1179","","",NA,NA,NA,"","","",NA,"","","","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"65","2018-08-26T00:00:00","",NA,NA,2018,8,26,"","","","",NA,NA,"","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.103099","",NA,"","NORTH_AMERICA","","","","US","Louisiana","Plaquemines",NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","","","","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","180684",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","7fd12114-9010-4c13-8f46-990fe04ca882","US","2020-02-10T20:55:25.860Z",NA,NA,NA,NA,NA,NA,"","","false","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus (Linnaeus, 1758)",NA,"DWC_ARCHIVE","2020-02-10T20:55:25.860Z","2020-02-06T06:46:41.360Z","false",NA,"",""
"526",2237557026,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34-9819-1186",NA,NA,NA,NA,NA,NA,NA,NA,"","CC_BY_NC_4_0",NA,NA,"",NA,NA,"",NA,NA,NA,"","NatureServe",NA,NA,NA,NA,NA,NA,"",NA,"","","","NTSRV","LA-NHP","NatureServe Network Species Occurrence Data","","UNKNOWN","",NA,"","34-9819-1186","34-9819-1186","","",NA,NA,NA,"","","",NA,"","","","","",NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"64","2018-07-23T00:00:00","",NA,NA,2018,7,23,"","","","",NA,NA,"","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.103099","",NA,"","NORTH_AMERICA","","","","US","Louisiana","St. Charles",NA,"","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","","","","","",NA,NA,NA,"","","","","","","",NA,"","","","","",NA,NA,NA,"","","","",NA,"","","","180684",NA,NA,NA,NA,NA,NA,"Trichechus manatus Linnaeus, 1758",NA,NA,NA,"",NA,NA,"","Animalia","Chordata","Mammalia","Sirenia","Trichechidae","Trichechus",NA,"manatus","","SPECIES","","","","ACCEPTED",NA,"","7fd12114-9010-4c13-8f46-990fe04ca882","US","2020-02-10T20:55:10.297Z",NA,NA,NA,NA,NA,NA,"","","false","false",2435296,2435296,1,44,359,802,9463,2435291,NA,2435296,"Trichechus manatus","Trichechus","Trichechus manatus Linnaeus, 1758","Trichechus manatus (Linnaeus, 1758)",NA,"DWC_ARCHIVE","2020-02-10T20:55:10.297Z","2020-02-06T06:46:41.360Z","false",NA,"",""
